""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"3,958"	"3,958"	"0,034"	"0,001"	"8,394"	"3,958"	"3,952"	"3958,"	"0,166"
"3,966"	"3,967"	"0,035"	"0,001"	"7,435"	"3,965"	"3,963"	"3966,"	"0,044"
"3,960"	"3,960"	"0,035"	"0,001"	"6,886"	"3,959"	"3,957"	"3960,"	"0,176"
"3,963"	"3,963"	"0,037"	"0,001"	"6,795"	"3,962"	"3,957"	"3963,"	"0,052"
"3,967"	"3,968"	"0,040"	"0,001"	"6,760"	"3,967"	"3,966"	"3967,"	"0,178"
"3,968"	"3,968"	"0,034"	"0,001"	"8,416"	"3,969"	"3,971"	"3968,"	"0,053"
"3,966"	"3,967"	"0,034"	"0,001"	"11,30"	"3,965"	"3,965"	"3966,"	"0,805"
"3,954"	"3,954"	"0,033"	"0,001"	"7,268"	"3,955"	"3,954"	"3954,"	"-0,24"
"3,955"	"3,955"	"0,035"	"0,001"	"7,942"	"3,956"	"3,961"	"3955,"	"0,101"
"3,960"	"3,960"	"0,031"	"0,001"	"8,323"	"3,960"	"3,960"	"3960,"	"-0,10"
"3,960"	"3,960"	"0,041"	"0,001"	"6,181"	"3,960"	"3,965"	"3960,"	"0,126"
"3,963"	"3,963"	"0,032"	"0,001"	"8,437"	"3,964"	"3,959"	"3963,"	"-0,24"
"3,967"	"3,967"	"0,036"	"0,001"	"7,102"	"3,967"	"3,970"	"3967,"	"0,009"
"3,967"	"3,967"	"0,030"	"0,000"	"9,509"	"3,967"	"3,971"	"3967,"	"0,269"
"3,966"	"3,966"	"0,036"	"0,001"	"7,630"	"3,968"	"3,968"	"3966,"	"-0,37"
"3,969"	"3,969"	"0,035"	"0,001"	"7,053"	"3,968"	"3,965"	"3969,"	"-0,10"
"3,969"	"3,969"	"0,033"	"0,001"	"7,855"	"3,968"	"3,972"	"3969,"	"0,286"
