""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,519"	"5,520"	"0,115"	"0,013"	"6,454"	"5,524"	"5,532"	"5519,"	"-0,00"
"5,484"	"5,485"	"0,095"	"0,009"	"7,315"	"5,483"	"5,470"	"5484,"	"-0,05"
"5,436"	"5,437"	"0,095"	"0,009"	"9,441"	"5,433"	"5,429"	"5436,"	"0,125"
"5,490"	"5,492"	"0,114"	"0,013"	"5,487"	"5,493"	"5,513"	"5490,"	"0,040"
"5,543"	"5,544"	"0,099"	"0,009"	"7,319"	"5,546"	"5,545"	"5543,"	"-0,03"
"5,481"	"5,482"	"0,099"	"0,009"	"8,286"	"5,485"	"5,486"	"5481,"	"-0,03"
"5,439"	"5,441"	"0,109"	"0,011"	"7,650"	"5,439"	"5,439"	"5439,"	"0,125"
"5,446"	"5,447"	"0,093"	"0,008"	"8,327"	"5,448"	"5,446"	"5446,"	"-0,17"
"5,438"	"5,439"	"0,097"	"0,009"	"7,821"	"5,444"	"5,449"	"5438,"	"-0,29"
"5,422"	"5,423"	"0,092"	"0,008"	"8,981"	"5,422"	"5,413"	"5422,"	"-0,02"
"5,417"	"5,418"	"0,100"	"0,010"	"7,986"	"5,421"	"5,434"	"5417,"	"-0,31"
"5,443"	"5,444"	"0,097"	"0,009"	"8,276"	"5,442"	"5,439"	"5443,"	"0,086"
"5,472"	"5,473"	"0,096"	"0,009"	"9,095"	"5,470"	"5,478"	"5472,"	"-0,07"
"5,472"	"5,473"	"0,104"	"0,010"	"8,227"	"5,471"	"5,454"	"5472,"	"0,054"
"5,514"	"5,515"	"0,095"	"0,009"	"9,187"	"5,511"	"5,512"	"5514,"	"0,259"
"5,438"	"5,439"	"0,103"	"0,010"	"7,522"	"5,436"	"5,422"	"5438,"	"0,140"
"5,447"	"5,448"	"0,097"	"0,009"	"8,592"	"5,447"	"5,459"	"5447,"	"-0,21"
"5,393"	"5,394"	"0,105"	"0,011"	"7,175"	"5,387"	"5,365"	"5393,"	"-0,04"
"5,364"	"5,365"	"0,094"	"0,009"	"8,513"	"5,367"	"5,370"	"5364,"	"-0,42"
"5,353"	"5,354"	"0,106"	"0,011"	"6,665"	"5,343"	"5,308"	"5353,"	"0,429"
"5,385"	"5,385"	"0,096"	"0,009"	"7,816"	"5,382"	"5,361"	"5385,"	"-0,05"
"5,353"	"5,354"	"0,109"	"0,012"	"7,299"	"5,346"	"5,342"	"5353,"	"0,397"
"5,382"	"5,383"	"0,095"	"0,009"	"9,045"	"5,377"	"5,376"	"5382,"	"0,107"
"5,462"	"5,463"	"0,093"	"0,008"	"9,567"	"5,462"	"5,462"	"5462,"	"0,095"
"5,487"	"5,488"	"0,104"	"0,010"	"7,165"	"5,490"	"5,495"	"5487,"	"-0,14"
"5,442"	"5,443"	"0,097"	"0,009"	"8,505"	"5,445"	"5,436"	"5442,"	"-0,03"
"5,507"	"5,508"	"0,101"	"0,010"	"8,343"	"5,502"	"5,506"	"5507,"	"0,250"
"5,524"	"5,525"	"0,089"	"0,007"	"9,296"	"5,524"	"5,539"	"5524,"	"0,158"
"5,524"	"5,525"	"0,088"	"0,007"	"10,77"	"5,523"	"5,523"	"5524,"	"0,033"
"5,572"	"5,573"	"0,102"	"0,010"	"7,692"	"5,568"	"5,569"	"5572,"	"0,296"
