""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"4,021"	"4,021"	"0,056"	"0,003"	"9,914"	"4,021"	"4,019"	"4021,"	"-0,16"
"4,024"	"4,024"	"0,054"	"0,003"	"8,499"	"4,022"	"4,012"	"4024,"	"0,185"
"4,025"	"4,025"	"0,065"	"0,004"	"7,637"	"4,025"	"4,028"	"4025,"	"0,142"
"4,028"	"4,028"	"0,057"	"0,003"	"8,350"	"4,030"	"4,025"	"4028,"	"0,124"
"4,027"	"4,027"	"0,052"	"0,002"	"11,56"	"4,026"	"4,029"	"4027,"	"0,392"
"4,020"	"4,020"	"0,061"	"0,003"	"7,882"	"4,023"	"4,029"	"4020,"	"-0,08"
"4,022"	"4,023"	"0,061"	"0,003"	"8,868"	"4,022"	"4,027"	"4022,"	"0,292"
"4,024"	"4,024"	"0,059"	"0,003"	"10,97"	"4,022"	"4,021"	"4024,"	"0,368"
"4,023"	"4,024"	"0,064"	"0,004"	"6,909"	"4,024"	"4,026"	"4023,"	"0,110"
"4,021"	"4,021"	"0,056"	"0,003"	"9,747"	"4,021"	"4,031"	"4021,"	"0,216"
"4,022"	"4,022"	"0,063"	"0,004"	"7,785"	"4,023"	"4,024"	"4022,"	"0,072"
"4,022"	"4,023"	"0,056"	"0,003"	"9,511"	"4,023"	"4,032"	"4022,"	"-0,05"
"4,020"	"4,020"	"0,064"	"0,004"	"7,172"	"4,022"	"4,020"	"4020,"	"-0,16"
"4,023"	"4,024"	"0,058"	"0,003"	"10,06"	"4,022"	"4,023"	"4023,"	"0,295"
"4,021"	"4,022"	"0,064"	"0,004"	"7,728"	"4,025"	"4,026"	"4021,"	"-0,57"
"4,027"	"4,027"	"0,058"	"0,003"	"8,005"	"4,027"	"4,025"	"4027,"	"-0,32"
"4,021"	"4,022"	"0,060"	"0,003"	"8,891"	"4,022"	"4,024"	"4021,"	"-0,15"
"4,021"	"4,022"	"0,061"	"0,003"	"7,453"	"4,023"	"4,024"	"4021,"	"0,089"
"4,023"	"4,023"	"0,056"	"0,003"	"8,645"	"4,022"	"4,021"	"4023,"	"-0,12"
"4,024"	"4,024"	"0,059"	"0,003"	"9,289"	"4,023"	"4,023"	"4024,"	"-0,12"
"4,018"	"4,019"	"0,064"	"0,004"	"6,521"	"4,017"	"4,027"	"4018,"	"0,076"
"4,019"	"4,019"	"0,053"	"0,002"	"8,501"	"4,019"	"4,018"	"4019,"	"0,010"
"4,023"	"4,024"	"0,059"	"0,003"	"8,687"	"4,023"	"4,023"	"4023,"	"0,127"
"4,028"	"4,029"	"0,070"	"0,004"	"7,277"	"4,027"	"4,025"	"4028,"	"0,201"
"4,031"	"4,032"	"0,082"	"0,006"	"7,723"	"4,028"	"4,026"	"4031,"	"0,389"
"4,032"	"4,032"	"0,076"	"0,005"	"7,796"	"4,028"	"4,031"	"4032,"	"0,538"
"4,022"	"4,022"	"0,048"	"0,002"	"7,162"	"4,022"	"4,028"	"4022,"	"0,122"
"4,022"	"4,023"	"0,050"	"0,002"	"6,554"	"4,025"	"4,022"	"4022,"	"-0,23"
