""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"4,024"	"4,024"	"0,052"	"0,002"	"7,870"	"4,026"	"4,027"	"4024,"	"-0,09"
"4,026"	"4,026"	"0,055"	"0,003"	"7,404"	"4,027"	"4,025"	"4026,"	"-0,13"
"4,025"	"4,025"	"0,047"	"0,002"	"10,34"	"4,025"	"4,027"	"4025,"	"0,279"
"4,023"	"4,023"	"0,051"	"0,002"	"7,719"	"4,025"	"4,026"	"4023,"	"-0,36"
"4,022"	"4,022"	"0,053"	"0,002"	"7,386"	"4,023"	"4,024"	"4022,"	"-0,37"
"4,016"	"4,016"	"0,048"	"0,002"	"9,001"	"4,015"	"4,014"	"4016,"	"0,465"
"4,026"	"4,027"	"0,043"	"0,001"	"9,728"	"4,025"	"4,020"	"4026,"	"0,520"
"4,024"	"4,024"	"0,047"	"0,002"	"10,26"	"4,025"	"4,013"	"4024,"	"-0,44"
"4,023"	"4,024"	"0,050"	"0,002"	"8,357"	"4,024"	"4,032"	"4023,"	"0,122"
"4,024"	"4,024"	"0,051"	"0,002"	"7,885"	"4,023"	"4,024"	"4024,"	"0,232"
"4,025"	"4,025"	"0,051"	"0,002"	"7,406"	"4,024"	"4,031"	"4025,"	"0,329"
"4,025"	"4,026"	"0,053"	"0,002"	"7,473"	"4,023"	"4,018"	"4025,"	"0,597"
"4,023"	"4,024"	"0,060"	"0,003"	"6,915"	"4,025"	"4,026"	"4023,"	"-0,14"
"4,027"	"4,027"	"0,055"	"0,003"	"6,669"	"4,025"	"4,028"	"4027,"	"0,211"
"4,021"	"4,021"	"0,068"	"0,004"	"6,803"	"4,019"	"4,013"	"4021,"	"0,288"
"4,023"	"4,023"	"0,060"	"0,003"	"7,318"	"4,022"	"4,024"	"4023,"	"-0,00"
"4,017"	"4,017"	"0,057"	"0,003"	"7,672"	"4,018"	"4,024"	"4017,"	"-0,02"
"4,021"	"4,021"	"0,056"	"0,003"	"9,137"	"4,021"	"4,026"	"4021,"	"0,026"
