""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,647"	"7,648"	"0,127"	"0,016"	"6,525"	"7,659"	"7,692"	"7647,"	"0,009"
"7,483"	"7,485"	"0,135"	"0,018"	"7,271"	"7,486"	"7,494"	"7483,"	"0,008"
"7,480"	"7,481"	"0,107"	"0,011"	"10,11"	"7,483"	"7,468"	"7480,"	"-0,54"
"7,538"	"7,539"	"0,130"	"0,016"	"7,165"	"7,543"	"7,547"	"7538,"	"-0,42"
"7,471"	"7,472"	"0,122"	"0,014"	"8,502"	"7,470"	"7,463"	"7471,"	"0,214"
"7,463"	"7,464"	"0,117"	"0,013"	"9,555"	"7,456"	"7,446"	"7463,"	"0,189"
"7,582"	"7,583"	"0,114"	"0,013"	"6,249"	"7,578"	"7,579"	"7582,"	"0,135"
"7,763"	"7,764"	"0,122"	"0,015"	"8,904"	"7,769"	"7,788"	"7763,"	"0,269"
"7,725"	"7,726"	"0,114"	"0,013"	"8,327"	"7,729"	"7,747"	"7725,"	"-0,21"
"7,673"	"7,673"	"0,104"	"0,010"	"10,31"	"7,677"	"7,686"	"7673,"	"-0,70"
"7,647"	"7,647"	"0,112"	"0,012"	"10,33"	"7,650"	"7,643"	"7647,"	"-0,19"
"7,569"	"7,570"	"0,132"	"0,017"	"7,383"	"7,566"	"7,559"	"7569,"	"0,258"
"7,598"	"7,599"	"0,131"	"0,017"	"6,472"	"7,603"	"7,635"	"7598,"	"-0,18"
"7,621"	"7,621"	"0,109"	"0,011"	"9,004"	"7,620"	"7,618"	"7621,"	"0,252"
"7,591"	"7,592"	"0,125"	"0,015"	"7,249"	"7,591"	"7,580"	"7591,"	"-0,11"
"7,618"	"7,619"	"0,110"	"0,012"	"7,960"	"7,622"	"7,626"	"7618,"	"-0,25"
"7,762"	"7,763"	"0,137"	"0,018"	"7,280"	"7,761"	"7,776"	"7762,"	"0,117"
"7,610"	"7,611"	"0,127"	"0,016"	"7,817"	"7,608"	"7,582"	"7610,"	"-0,14"
"7,479"	"7,480"	"0,120"	"0,014"	"8,376"	"7,482"	"7,470"	"7479,"	"-0,33"
"7,573"	"7,575"	"0,125"	"0,015"	"7,867"	"7,570"	"7,561"	"7573,"	"-0,10"
"7,608"	"7,609"	"0,118"	"0,013"	"7,949"	"7,609"	"7,599"	"7608,"	"-0,33"
"7,571"	"7,572"	"0,117"	"0,013"	"8,488"	"7,574"	"7,573"	"7571,"	"-0,12"
"7,601"	"7,602"	"0,115"	"0,013"	"9,218"	"7,600"	"7,599"	"7601,"	"0,157"
"7,584"	"7,585"	"0,124"	"0,015"	"8,691"	"7,581"	"7,571"	"7584,"	"0,303"
"7,663"	"7,664"	"0,132"	"0,017"	"6,624"	"7,667"	"7,672"	"7663,"	"-0,10"
"7,584"	"7,586"	"0,148"	"0,022"	"5,200"	"7,586"	"7,653"	"7584,"	"-0,00"
"7,489"	"7,490"	"0,128"	"0,016"	"7,720"	"7,487"	"7,495"	"7489,"	"0,140"
"7,505"	"7,506"	"0,117"	"0,013"	"9,195"	"7,504"	"7,504"	"7505,"	"0,266"
"7,506"	"7,506"	"0,115"	"0,013"	"8,487"	"7,502"	"7,495"	"7506,"	"-0,01"
"7,487"	"7,488"	"0,121"	"0,014"	"8,989"	"7,487"	"7,509"	"7487,"	"-0,00"
"7,452"	"7,452"	"0,116"	"0,013"	"9,082"	"7,453"	"7,456"	"7452,"	"-0,57"
"7,494"	"7,496"	"0,131"	"0,017"	"7,387"	"7,495"	"7,509"	"7494,"	"-0,00"
