""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,644"	"7,645"	"0,138"	"0,019"	"7,046"	"7,636"	"7,601"	"7644,"	"0,154"
"7,634"	"7,635"	"0,134"	"0,018"	"7,399"	"7,635"	"7,684"	"7634,"	"-0,03"
"7,680"	"7,681"	"0,131"	"0,017"	"7,809"	"7,681"	"7,693"	"7680,"	"0,216"
"7,683"	"7,684"	"0,121"	"0,014"	"8,942"	"7,684"	"7,682"	"7683,"	"-0,00"
"7,659"	"7,660"	"0,132"	"0,017"	"7,981"	"7,657"	"7,652"	"7659,"	"-0,00"
"7,642"	"7,643"	"0,126"	"0,015"	"7,639"	"7,635"	"7,626"	"7642,"	"0,175"
"7,707"	"7,708"	"0,124"	"0,015"	"7,763"	"7,707"	"7,687"	"7707,"	"-0,11"
"7,709"	"7,710"	"0,126"	"0,015"	"8,400"	"7,713"	"7,713"	"7709,"	"-0,02"
"7,617"	"7,618"	"0,121"	"0,014"	"7,954"	"7,617"	"7,616"	"7617,"	"-0,13"
"7,677"	"7,678"	"0,132"	"0,017"	"6,904"	"7,677"	"7,653"	"7677,"	"0,097"
"7,748"	"7,749"	"0,124"	"0,015"	"7,570"	"7,746"	"7,751"	"7748,"	"0,365"
"7,689"	"7,690"	"0,124"	"0,015"	"8,479"	"7,685"	"7,683"	"7689,"	"0,131"
"7,780"	"7,781"	"0,127"	"0,016"	"8,859"	"7,772"	"7,768"	"7780,"	"0,546"
"7,672"	"7,673"	"0,137"	"0,018"	"6,208"	"7,672"	"7,619"	"7672,"	"-0,03"
"7,562"	"7,563"	"0,133"	"0,017"	"8,036"	"7,556"	"7,532"	"7562,"	"0,338"
"7,541"	"7,542"	"0,115"	"0,013"	"9,067"	"7,542"	"7,521"	"7541,"	"0,190"
"7,498"	"7,500"	"0,137"	"0,018"	"7,078"	"7,508"	"7,515"	"7498,"	"0,106"
"7,384"	"7,385"	"0,125"	"0,015"	"7,308"	"7,386"	"7,403"	"7384,"	"0,021"
"7,442"	"7,443"	"0,117"	"0,013"	"9,341"	"7,439"	"7,446"	"7442,"	"0,229"
"7,463"	"7,464"	"0,137"	"0,018"	"7,448"	"7,467"	"7,470"	"7463,"	"-0,04"
"7,392"	"7,393"	"0,119"	"0,014"	"9,142"	"7,391"	"7,398"	"7392,"	"-0,13"
"7,433"	"7,434"	"0,119"	"0,014"	"8,678"	"7,438"	"7,462"	"7433,"	"-0,08"
"7,349"	"7,350"	"0,140"	"0,019"	"6,415"	"7,351"	"7,389"	"7349,"	"0,288"
"7,277"	"7,278"	"0,114"	"0,013"	"7,733"	"7,278"	"7,281"	"7277,"	"0,124"
"7,381"	"7,383"	"0,141"	"0,019"	"7,229"	"7,378"	"7,375"	"7381,"	"0,447"
"7,456"	"7,457"	"0,120"	"0,014"	"9,382"	"7,457"	"7,463"	"7456,"	"0,202"
"7,416"	"7,417"	"0,131"	"0,017"	"8,123"	"7,413"	"7,423"	"7416,"	"0,098"
"7,439"	"7,440"	"0,129"	"0,016"	"8,219"	"7,444"	"7,453"	"7439,"	"0,166"
"7,340"	"7,341"	"0,127"	"0,016"	"7,860"	"7,347"	"7,346"	"7340,"	"-0,43"
"7,263"	"7,264"	"0,118"	"0,014"	"9,252"	"7,263"	"7,256"	"7263,"	"-0,07"
"7,347"	"7,348"	"0,136"	"0,018"	"7,459"	"7,350"	"7,352"	"7347,"	"-0,37"
"7,413"	"7,414"	"0,132"	"0,017"	"7,621"	"7,411"	"7,422"	"7413,"	"0,134"
"7,339"	"7,340"	"0,126"	"0,015"	"8,444"	"7,331"	"7,313"	"7339,"	"0,333"
"7,342"	"7,343"	"0,127"	"0,016"	"8,026"	"7,344"	"7,343"	"7342,"	"0,043"
"7,386"	"7,387"	"0,128"	"0,016"	"7,311"	"7,385"	"7,378"	"7386,"	"-0,06"
"7,459"	"7,460"	"0,118"	"0,014"	"8,740"	"7,469"	"7,480"	"7459,"	"-0,56"
"7,442"	"7,443"	"0,125"	"0,015"	"7,681"	"7,439"	"7,404"	"7442,"	"0,368"
"7,373"	"7,375"	"0,133"	"0,017"	"7,598"	"7,380"	"7,396"	"7373,"	"-0,06"
"7,266"	"7,267"	"0,132"	"0,017"	"7,721"	"7,266"	"7,276"	"7266,"	"0,565"
"7,210"	"7,211"	"0,124"	"0,015"	"7,286"	"7,214"	"7,217"	"7210,"	"-0,02"
"7,394"	"7,395"	"0,135"	"0,018"	"6,583"	"7,400"	"7,436"	"7394,"	"0,094"
"7,395"	"7,396"	"0,121"	"0,014"	"8,592"	"7,398"	"7,410"	"7395,"	"-0,09"
"7,362"	"7,363"	"0,123"	"0,015"	"7,852"	"7,362"	"7,356"	"7362,"	"-0,02"
"7,408"	"7,409"	"0,128"	"0,016"	"8,665"	"7,404"	"7,394"	"7408,"	"0,444"
"7,397"	"7,398"	"0,118"	"0,014"	"9,878"	"7,389"	"7,376"	"7397,"	"0,517"
"7,435"	"7,436"	"0,122"	"0,014"	"8,684"	"7,433"	"7,434"	"7435,"	"0,379"
"7,439"	"7,440"	"0,125"	"0,015"	"7,951"	"7,440"	"7,439"	"7439,"	"-0,08"
"7,430"	"7,431"	"0,124"	"0,015"	"8,352"	"7,433"	"7,425"	"7430,"	"-0,12"
"7,403"	"7,404"	"0,127"	"0,016"	"7,983"	"7,403"	"7,386"	"7403,"	"-0,12"
"7,497"	"7,499"	"0,130"	"0,017"	"8,246"	"7,499"	"7,513"	"7497,"	"-0,42"
"7,468"	"7,469"	"0,132"	"0,017"	"8,025"	"7,467"	"7,464"	"7468,"	"0,010"
"7,392"	"7,393"	"0,117"	"0,013"	"8,479"	"7,390"	"7,377"	"7392,"	"0,230"
"7,393"	"7,394"	"0,122"	"0,015"	"7,504"	"7,393"	"7,397"	"7393,"	"0,054"
"7,509"	"7,510"	"0,130"	"0,016"	"7,724"	"7,512"	"7,519"	"7509,"	"-0,23"
"7,512"	"7,514"	"0,143"	"0,020"	"6,320"	"7,510"	"7,488"	"7512,"	"0,078"
"7,467"	"7,468"	"0,134"	"0,017"	"7,129"	"7,458"	"7,453"	"7467,"	"0,280"
"7,434"	"7,436"	"0,127"	"0,016"	"8,338"	"7,441"	"7,446"	"7434,"	"-0,12"
"7,503"	"7,505"	"0,146"	"0,021"	"4,643"	"7,500"	"7,419"	"7503,"	"0,214"
"7,571"	"7,573"	"0,139"	"0,019"	"6,408"	"7,570"	"7,522"	"7571,"	"0,039"
"7,611"	"7,612"	"0,118"	"0,013"	"8,036"	"7,610"	"7,626"	"7611,"	"0,304"
"7,658"	"7,659"	"0,133"	"0,017"	"7,975"	"7,660"	"7,665"	"7658,"	"-0,08"
"7,599"	"7,600"	"0,135"	"0,018"	"7,150"	"7,599"	"7,593"	"7599,"	"0,027"
"7,463"	"7,464"	"0,129"	"0,016"	"9,392"	"7,461"	"7,450"	"7463,"	"0,071"
"7,549"	"7,550"	"0,145"	"0,021"	"6,342"	"7,561"	"7,566"	"7549,"	"-0,25"
"7,555"	"7,556"	"0,129"	"0,016"	"8,148"	"7,555"	"7,565"	"7555,"	"-0,07"
"7,517"	"7,518"	"0,124"	"0,015"	"7,863"	"7,518"	"7,504"	"7517,"	"0,059"
"7,568"	"7,569"	"0,126"	"0,015"	"8,674"	"7,557"	"7,514"	"7568,"	"0,364"
"7,691"	"7,692"	"0,119"	"0,014"	"7,550"	"7,690"	"7,702"	"7691,"	"-0,13"
"7,816"	"7,817"	"0,126"	"0,016"	"6,785"	"7,818"	"7,779"	"7816,"	"-0,11"
"7,786"	"7,788"	"0,148"	"0,021"	"6,107"	"7,791"	"7,790"	"7786,"	"-0,13"
"7,570"	"7,571"	"0,139"	"0,019"	"7,411"	"7,567"	"7,568"	"7570,"	"-0,28"
"7,488"	"7,489"	"0,127"	"0,016"	"8,026"	"7,488"	"7,501"	"7488,"	"0,543"
"7,548"	"7,549"	"0,121"	"0,014"	"8,522"	"7,549"	"7,562"	"7548,"	"0,048"
"7,557"	"7,558"	"0,120"	"0,014"	"8,627"	"7,562"	"7,566"	"7557,"	"-0,35"
"7,573"	"7,574"	"0,119"	"0,014"	"8,890"	"7,572"	"7,572"	"7573,"	"0,166"
"7,593"	"7,594"	"0,127"	"0,016"	"8,963"	"7,592"	"7,571"	"7593,"	"-0,34"
"7,508"	"7,510"	"0,133"	"0,017"	"7,827"	"7,514"	"7,520"	"7508,"	"-0,23"
"7,436"	"7,437"	"0,115"	"0,013"	"9,405"	"7,436"	"7,432"	"7436,"	"0,148"
"7,417"	"7,418"	"0,125"	"0,015"	"8,911"	"7,412"	"7,393"	"7417,"	"0,178"
"7,408"	"7,409"	"0,120"	"0,014"	"8,713"	"7,408"	"7,399"	"7408,"	"0,259"
"7,523"	"7,524"	"0,126"	"0,016"	"7,014"	"7,534"	"7,537"	"7523,"	"-0,39"
"7,457"	"7,458"	"0,148"	"0,022"	"5,697"	"7,453"	"7,396"	"7457,"	"-0,20"
"7,388"	"7,390"	"0,132"	"0,017"	"7,763"	"7,391"	"7,411"	"7388,"	"-0,17"
"7,607"	"7,609"	"0,156"	"0,024"	"5,405"	"7,593"	"7,530"	"7607,"	"-0,26"
"7,741"	"7,742"	"0,127"	"0,016"	"8,069"	"7,745"	"7,769"	"7741,"	"0,382"
"7,655"	"7,656"	"0,113"	"0,012"	"9,642"	"7,655"	"7,654"	"7655,"	"-0,21"
"7,665"	"7,666"	"0,119"	"0,014"	"8,230"	"7,663"	"7,647"	"7665,"	"0,251"
"7,557"	"7,558"	"0,126"	"0,015"	"8,547"	"7,557"	"7,540"	"7557,"	"-0,16"
"7,643"	"7,644"	"0,139"	"0,019"	"6,087"	"7,631"	"7,622"	"7643,"	"0,289"
"7,727"	"7,728"	"0,133"	"0,017"	"6,916"	"7,732"	"7,756"	"7727,"	"0,117"
