""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"6,899"	"6,900"	"0,133"	"0,017"	"7,374"	"6,902"	"6,906"	"6899,"	"-0,08"
"6,804"	"6,805"	"0,117"	"0,013"	"8,751"	"6,803"	"6,800"	"6804,"	"0,064"
"6,931"	"6,932"	"0,122"	"0,015"	"8,425"	"6,933"	"6,930"	"6931,"	"0,166"
"6,884"	"6,886"	"0,143"	"0,020"	"7,008"	"6,889"	"6,894"	"6884,"	"0,210"
"6,999"	"7,000"	"0,126"	"0,016"	"6,481"	"6,993"	"6,956"	"6999,"	"-0,07"
"7,035"	"7,036"	"0,133"	"0,017"	"7,471"	"7,035"	"7,058"	"7035,"	"0,186"
"6,892"	"6,893"	"0,139"	"0,019"	"6,988"	"6,890"	"6,875"	"6892,"	"0,125"
"6,851"	"6,852"	"0,126"	"0,016"	"8,428"	"6,850"	"6,844"	"6851,"	"0,082"
"6,875"	"6,876"	"0,113"	"0,012"	"8,238"	"6,874"	"6,891"	"6875,"	"0,388"
"6,853"	"6,855"	"0,144"	"0,020"	"7,255"	"6,857"	"6,863"	"6853,"	"-0,21"
"6,790"	"6,792"	"0,136"	"0,018"	"7,419"	"6,789"	"6,789"	"6790,"	"-0,00"
"6,836"	"6,837"	"0,132"	"0,017"	"7,758"	"6,837"	"6,827"	"6836,"	"-0,17"
"6,904"	"6,905"	"0,120"	"0,014"	"9,033"	"6,904"	"6,889"	"6904,"	"0,161"
"6,902"	"6,903"	"0,127"	"0,016"	"7,446"	"6,909"	"6,942"	"6902,"	"-0,16"
"6,876"	"6,878"	"0,122"	"0,015"	"8,548"	"6,872"	"6,833"	"6876,"	"0,113"
"6,998"	"6,999"	"0,120"	"0,014"	"9,182"	"6,994"	"6,988"	"6998,"	"0,388"
"7,062"	"7,063"	"0,131"	"0,017"	"7,994"	"7,058"	"7,069"	"7062,"	"0,101"
"7,073"	"7,075"	"0,139"	"0,019"	"6,788"	"7,062"	"7,054"	"7073,"	"0,647"
"7,016"	"7,017"	"0,117"	"0,013"	"8,382"	"7,023"	"7,031"	"7016,"	"0,086"
"6,881"	"6,882"	"0,118"	"0,014"	"9,399"	"6,880"	"6,871"	"6881,"	"-0,15"
