""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,485"	"7,486"	"0,123"	"0,015"	"7,709"	"7,482"	"7,439"	"7485,"	"-0,19"
"7,587"	"7,589"	"0,130"	"0,017"	"9,560"	"7,591"	"7,622"	"7587,"	"-0,20"
"7,532"	"7,534"	"0,146"	"0,021"	"7,221"	"7,518"	"7,508"	"7532,"	"-0,20"
"7,790"	"7,792"	"0,141"	"0,019"	"8,137"	"7,794"	"7,776"	"7790,"	"-0,41"
"7,685"	"7,686"	"0,120"	"0,014"	"8,730"	"7,693"	"7,709"	"7685,"	"-0,12"
"7,663"	"7,664"	"0,141"	"0,020"	"6,320"	"7,652"	"7,615"	"7663,"	"-0,14"
"7,735"	"7,736"	"0,125"	"0,015"	"8,873"	"7,728"	"7,712"	"7735,"	"0,264"
"7,679"	"7,680"	"0,126"	"0,015"	"9,076"	"7,675"	"7,664"	"7679,"	"0,421"
"7,568"	"7,569"	"0,137"	"0,018"	"7,272"	"7,570"	"7,550"	"7568,"	"0,069"
"7,412"	"7,414"	"0,136"	"0,018"	"8,680"	"7,415"	"7,419"	"7412,"	"0,004"
"7,471"	"7,472"	"0,123"	"0,015"	"9,358"	"7,476"	"7,496"	"7471,"	"-0,28"
"7,492"	"7,493"	"0,136"	"0,018"	"7,850"	"7,494"	"7,491"	"7492,"	"-0,01"
"7,523"	"7,525"	"0,141"	"0,020"	"8,458"	"7,526"	"7,529"	"7523,"	"0,017"
"7,444"	"7,445"	"0,131"	"0,017"	"8,634"	"7,448"	"7,454"	"7444,"	"-0,38"
"7,532"	"7,534"	"0,142"	"0,020"	"7,963"	"7,530"	"7,553"	"7532,"	"0,018"
"7,559"	"7,560"	"0,134"	"0,018"	"8,024"	"7,564"	"7,564"	"7559,"	"-0,23"
"7,711"	"7,712"	"0,132"	"0,017"	"7,790"	"7,723"	"7,742"	"7711,"	"-0,40"
"7,676"	"7,678"	"0,154"	"0,023"	"6,070"	"7,686"	"7,757"	"7676,"	"0,234"
"7,519"	"7,521"	"0,159"	"0,025"	"6,830"	"7,524"	"7,517"	"7519,"	"-0,32"
"7,570"	"7,571"	"0,135"	"0,018"	"9,166"	"7,575"	"7,580"	"7570,"	"-0,17"
"7,451"	"7,452"	"0,145"	"0,021"	"6,881"	"7,452"	"7,440"	"7451,"	"-0,23"
"7,309"	"7,311"	"0,156"	"0,024"	"6,385"	"7,310"	"7,280"	"7309,"	"-0,02"
"7,280"	"7,281"	"0,149"	"0,022"	"7,681"	"7,274"	"7,241"	"7280,"	"0,188"
