""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,675"	"7,677"	"0,164"	"0,027"	"5,874"	"7,659"	"7,625"	"7675,"	"0,248"
"7,523"	"7,524"	"0,137"	"0,018"	"6,783"	"7,534"	"7,563"	"7523,"	"-0,23"
"7,272"	"7,273"	"0,143"	"0,020"	"6,587"	"7,264"	"7,258"	"7272,"	"-0,22"
"7,304"	"7,306"	"0,157"	"0,024"	"6,150"	"7,309"	"7,364"	"7304,"	"-0,08"
"7,369"	"7,370"	"0,139"	"0,019"	"7,946"	"7,364"	"7,366"	"7369,"	"0,371"
"7,512"	"7,513"	"0,144"	"0,020"	"6,893"	"7,513"	"7,526"	"7512,"	"0,086"
"7,557"	"7,559"	"0,136"	"0,018"	"8,724"	"7,557"	"7,563"	"7557,"	"-0,12"
"7,490"	"7,492"	"0,137"	"0,018"	"9,023"	"7,492"	"7,514"	"7490,"	"0,001"
"7,357"	"7,358"	"0,136"	"0,018"	"8,743"	"7,352"	"7,324"	"7357,"	"0,162"
"7,242"	"7,243"	"0,138"	"0,019"	"7,301"	"7,242"	"7,230"	"7242,"	"0,281"
"7,240"	"7,241"	"0,136"	"0,018"	"7,953"	"7,236"	"7,219"	"7240,"	"0,164"
"7,396"	"7,398"	"0,142"	"0,020"	"6,290"	"7,393"	"7,367"	"7396,"	"-0,26"
"7,469"	"7,470"	"0,135"	"0,018"	"7,277"	"7,471"	"7,494"	"7469,"	"0,419"
"7,352"	"7,353"	"0,121"	"0,014"	"10,49"	"7,352"	"7,338"	"7352,"	"0,298"
"7,402"	"7,403"	"0,143"	"0,020"	"7,007"	"7,401"	"7,418"	"7402,"	"-0,22"
"7,372"	"7,373"	"0,116"	"0,013"	"9,084"	"7,373"	"7,368"	"7372,"	"-0,03"
"7,330"	"7,331"	"0,145"	"0,021"	"7,773"	"7,334"	"7,344"	"7330,"	"-0,43"
"7,348"	"7,349"	"0,117"	"0,013"	"9,661"	"7,344"	"7,343"	"7348,"	"0,300"
"7,385"	"7,387"	"0,137"	"0,018"	"7,438"	"7,392"	"7,417"	"7385,"	"-0,25"
"7,496"	"7,497"	"0,140"	"0,019"	"8,013"	"7,505"	"7,533"	"7496,"	"-0,01"
"7,502"	"7,503"	"0,119"	"0,014"	"9,648"	"7,506"	"7,519"	"7502,"	"-0,40"
"7,527"	"7,528"	"0,134"	"0,018"	"8,682"	"7,523"	"7,520"	"7527,"	"0,139"
