""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,341"	"5,342"	"0,075"	"0,005"	"6,764"	"5,347"	"5,346"	"5341,"	"0,018"
"5,309"	"5,309"	"0,065"	"0,004"	"8,547"	"5,312"	"5,308"	"5309,"	"-0,38"
"5,296"	"5,297"	"0,068"	"0,004"	"8,919"	"5,294"	"5,293"	"5296,"	"0,007"
"5,302"	"5,303"	"0,067"	"0,004"	"8,513"	"5,305"	"5,310"	"5302,"	"-0,36"
"5,320"	"5,320"	"0,071"	"0,005"	"8,706"	"5,321"	"5,327"	"5320,"	"-0,22"
"5,330"	"5,330"	"0,075"	"0,005"	"7,582"	"5,333"	"5,329"	"5330,"	"-0,19"
"5,310"	"5,311"	"0,082"	"0,006"	"6,301"	"5,309"	"5,335"	"5310,"	"0,346"
"5,279"	"5,279"	"0,081"	"0,006"	"6,812"	"5,278"	"5,280"	"5279,"	"0,165"
"5,314"	"5,315"	"0,080"	"0,006"	"7,318"	"5,318"	"5,312"	"5314,"	"-0,25"
"5,326"	"5,327"	"0,069"	"0,004"	"8,475"	"5,326"	"5,333"	"5326,"	"0,284"
"5,330"	"5,330"	"0,074"	"0,005"	"6,992"	"5,329"	"5,328"	"5330,"	"0,069"
"5,419"	"5,419"	"0,072"	"0,005"	"7,119"	"5,419"	"5,438"	"5419,"	"0,045"
"5,405"	"5,405"	"0,067"	"0,004"	"10,88"	"5,404"	"5,404"	"5405,"	"0,698"
"5,338"	"5,339"	"0,072"	"0,005"	"8,103"	"5,343"	"5,352"	"5338,"	"0,207"
"5,337"	"5,337"	"0,074"	"0,005"	"6,885"	"5,338"	"5,347"	"5337,"	"0,191"
"5,362"	"5,362"	"0,069"	"0,004"	"7,857"	"5,362"	"5,352"	"5362,"	"-0,00"
"5,300"	"5,300"	"0,082"	"0,006"	"6,612"	"5,299"	"5,299"	"5300,"	"-0,07"
"5,347"	"5,348"	"0,085"	"0,007"	"6,215"	"5,354"	"5,361"	"5347,"	"-0,36"
"5,320"	"5,320"	"0,069"	"0,004"	"7,742"	"5,320"	"5,318"	"5320,"	"-0,06"
"5,284"	"5,284"	"0,070"	"0,004"	"9,239"	"5,282"	"5,272"	"5284,"	"0,351"
"5,348"	"5,348"	"0,077"	"0,006"	"8,648"	"5,346"	"5,343"	"5348,"	"0,422"
"5,340"	"5,341"	"0,078"	"0,006"	"6,964"	"5,337"	"5,332"	"5340,"	"0,028"
