""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,575"	"7,577"	"0,159"	"0,025"	"4,964"	"7,580"	"7,595"	"7575,"	"0,009"
"7,694"	"7,696"	"0,147"	"0,021"	"6,784"	"7,695"	"7,682"	"7694,"	"0,090"
"7,582"	"7,583"	"0,126"	"0,015"	"9,294"	"7,587"	"7,596"	"7582,"	"-0,32"
"7,469"	"7,470"	"0,123"	"0,015"	"8,050"	"7,467"	"7,472"	"7469,"	"0,235"
"7,525"	"7,527"	"0,132"	"0,017"	"6,993"	"7,532"	"7,538"	"7525,"	"0,084"
"7,507"	"7,508"	"0,122"	"0,014"	"10,14"	"7,505"	"7,496"	"7507,"	"0,108"
"7,571"	"7,572"	"0,143"	"0,020"	"7,360"	"7,574"	"7,584"	"7571,"	"-0,33"
"7,611"	"7,612"	"0,128"	"0,016"	"9,420"	"7,612"	"7,609"	"7611,"	"-0,07"
"7,600"	"7,602"	"0,142"	"0,020"	"6,243"	"7,616"	"7,659"	"7600,"	"-0,19"
"7,431"	"7,432"	"0,121"	"0,014"	"9,201"	"7,429"	"7,446"	"7431,"	"0,112"
"7,440"	"7,441"	"0,125"	"0,015"	"8,357"	"7,438"	"7,450"	"7440,"	"0,333"
"7,410"	"7,412"	"0,146"	"0,021"	"6,844"	"7,422"	"7,426"	"7410,"	"-0,12"
"7,279"	"7,280"	"0,119"	"0,014"	"8,653"	"7,280"	"7,284"	"7279,"	"0,144"
"7,307"	"7,308"	"0,129"	"0,016"	"6,293"	"7,301"	"7,254"	"7307,"	"0,168"
"7,500"	"7,501"	"0,124"	"0,015"	"8,014"	"7,511"	"7,527"	"7500,"	"-0,59"
"7,508"	"7,509"	"0,137"	"0,018"	"8,203"	"7,508"	"7,511"	"7508,"	"-0,21"
"7,384"	"7,385"	"0,124"	"0,015"	"7,894"	"7,379"	"7,385"	"7384,"	"0,587"
"7,449"	"7,450"	"0,126"	"0,015"	"8,501"	"7,446"	"7,458"	"7449,"	"0,429"
"7,438"	"7,439"	"0,122"	"0,015"	"8,608"	"7,432"	"7,417"	"7438,"	"-0,05"
"7,443"	"7,444"	"0,120"	"0,014"	"8,141"	"7,444"	"7,435"	"7443,"	"-0,03"
"7,471"	"7,472"	"0,130"	"0,017"	"7,675"	"7,458"	"7,450"	"7471,"	"0,472"
"7,558"	"7,558"	"0,110"	"0,012"	"9,704"	"7,557"	"7,551"	"7558,"	"0,516"
"7,483"	"7,484"	"0,127"	"0,016"	"7,352"	"7,484"	"7,484"	"7483,"	"0,177"
"7,461"	"7,462"	"0,117"	"0,013"	"8,882"	"7,463"	"7,462"	"7461,"	"-0,02"
"7,376"	"7,377"	"0,127"	"0,016"	"7,982"	"7,377"	"7,372"	"7376,"	"-0,31"
"7,386"	"7,387"	"0,121"	"0,014"	"8,753"	"7,386"	"7,381"	"7386,"	"-0,01"
"7,359"	"7,360"	"0,134"	"0,018"	"7,918"	"7,363"	"7,373"	"7359,"	"-0,21"
"7,407"	"7,408"	"0,122"	"0,015"	"7,785"	"7,404"	"7,419"	"7407,"	"0,229"
"7,421"	"7,422"	"0,131"	"0,017"	"7,138"	"7,421"	"7,422"	"7421,"	"0,128"
"7,375"	"7,376"	"0,114"	"0,013"	"8,208"	"7,374"	"7,363"	"7375,"	"0,581"
"7,324"	"7,325"	"0,133"	"0,017"	"8,010"	"7,328"	"7,322"	"7324,"	"-0,14"
"7,327"	"7,328"	"0,124"	"0,015"	"9,461"	"7,331"	"7,346"	"7327,"	"-0,03"
"7,412"	"7,413"	"0,137"	"0,018"	"6,947"	"7,418"	"7,438"	"7412,"	"0,079"
"7,416"	"7,417"	"0,130"	"0,017"	"7,815"	"7,415"	"7,427"	"7416,"	"0,139"
