""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,400"	"7,402"	"0,150"	"0,022"	"7,788"	"7,403"	"7,403"	"7400,"	"-0,01"
"7,512"	"7,514"	"0,163"	"0,026"	"5,759"	"7,495"	"7,459"	"7512,"	"0,161"
"7,774"	"7,776"	"0,141"	"0,019"	"6,706"	"7,764"	"7,741"	"7774,"	"0,174"
"7,980"	"7,981"	"0,120"	"0,014"	"8,592"	"7,982"	"7,988"	"7980,"	"0,176"
"7,801"	"7,802"	"0,130"	"0,016"	"7,800"	"7,789"	"7,788"	"7801,"	"0,131"
"7,672"	"7,673"	"0,142"	"0,020"	"6,647"	"7,686"	"7,743"	"7672,"	"-0,49"
"7,533"	"7,534"	"0,130"	"0,017"	"9,311"	"7,527"	"7,545"	"7533,"	"0,644"
"7,655"	"7,657"	"0,157"	"0,024"	"6,432"	"7,642"	"7,594"	"7655,"	"-0,24"
"7,774"	"7,776"	"0,149"	"0,022"	"7,553"	"7,790"	"7,808"	"7774,"	"-0,68"
"7,659"	"7,660"	"0,142"	"0,020"	"8,146"	"7,663"	"7,678"	"7659,"	"-0,26"
"7,673"	"7,674"	"0,133"	"0,017"	"9,375"	"7,676"	"7,678"	"7673,"	"-0,26"
"7,679"	"7,680"	"0,135"	"0,018"	"8,041"	"7,671"	"7,658"	"7679,"	"0,529"
"7,704"	"7,705"	"0,127"	"0,016"	"9,625"	"7,706"	"7,716"	"7704,"	"0,202"
"7,562"	"7,563"	"0,127"	"0,016"	"9,803"	"7,555"	"7,543"	"7562,"	"0,310"
"7,752"	"7,754"	"0,166"	"0,027"	"4,983"	"7,760"	"7,865"	"7752,"	"-0,20"
"7,838"	"7,840"	"0,155"	"0,024"	"6,682"	"7,848"	"7,853"	"7838,"	"-0,01"
"7,539"	"7,541"	"0,165"	"0,027"	"6,192"	"7,530"	"7,494"	"7539,"	"-0,25"
"7,378"	"7,379"	"0,128"	"0,016"	"9,360"	"7,375"	"7,370"	"7378,"	"0,110"
"7,446"	"7,447"	"0,134"	"0,018"	"8,764"	"7,451"	"7,470"	"7446,"	"0,172"
"7,377"	"7,379"	"0,154"	"0,023"	"6,391"	"7,375"	"7,338"	"7377,"	"-0,01"
"7,227"	"7,228"	"0,140"	"0,019"	"8,553"	"7,227"	"7,227"	"7227,"	"-0,14"
"7,320"	"7,321"	"0,144"	"0,020"	"8,189"	"7,312"	"7,274"	"7320,"	"0,448"
"7,495"	"7,497"	"0,140"	"0,019"	"7,618"	"7,490"	"7,485"	"7495,"	"0,056"
