""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,597"	"7,598"	"0,133"	"0,017"	"8,381"	"7,591"	"7,590"	"7597,"	"0,124"
"7,562"	"7,563"	"0,128"	"0,016"	"9,982"	"7,562"	"7,552"	"7562,"	"-0,17"
"7,570"	"7,571"	"0,132"	"0,017"	"8,052"	"7,572"	"7,575"	"7570,"	"-0,26"
"7,471"	"7,472"	"0,130"	"0,017"	"9,160"	"7,468"	"7,454"	"7471,"	"-0,03"
"7,512"	"7,513"	"0,142"	"0,020"	"8,718"	"7,516"	"7,544"	"7512,"	"-0,22"
"7,450"	"7,452"	"0,160"	"0,025"	"7,389"	"7,461"	"7,469"	"7450,"	"-0,42"
"7,366"	"7,367"	"0,125"	"0,015"	"9,627"	"7,368"	"7,362"	"7366,"	"-0,33"
"7,393"	"7,394"	"0,138"	"0,019"	"7,910"	"7,391"	"7,394"	"7393,"	"0,134"
"7,439"	"7,440"	"0,144"	"0,020"	"7,493"	"7,433"	"7,433"	"7439,"	"0,384"
"7,390"	"7,391"	"0,121"	"0,014"	"10,98"	"7,396"	"7,411"	"7390,"	"-0,31"
"7,401"	"7,402"	"0,138"	"0,019"	"8,587"	"7,400"	"7,387"	"7401,"	"0,022"
"7,410"	"7,412"	"0,140"	"0,019"	"8,625"	"7,410"	"7,410"	"7410,"	"0,066"
"7,408"	"7,409"	"0,125"	"0,015"	"9,031"	"7,404"	"7,403"	"7408,"	"0,458"
"7,450"	"7,451"	"0,143"	"0,020"	"8,202"	"7,454"	"7,459"	"7450,"	"0,012"
"7,533"	"7,534"	"0,143"	"0,020"	"7,802"	"7,543"	"7,545"	"7533,"	"-0,19"
"7,528"	"7,529"	"0,129"	"0,016"	"9,406"	"7,532"	"7,533"	"7528,"	"-0,27"
"7,519"	"7,521"	"0,164"	"0,027"	"6,047"	"7,501"	"7,481"	"7519,"	"0,469"
"7,558"	"7,559"	"0,126"	"0,016"	"9,842"	"7,557"	"7,550"	"7558,"	"0,243"
"7,519"	"7,521"	"0,131"	"0,017"	"7,770"	"7,523"	"7,506"	"7519,"	"-0,34"
"7,702"	"7,703"	"0,147"	"0,021"	"7,811"	"7,707"	"7,718"	"7702,"	"-0,01"
"7,689"	"7,690"	"0,118"	"0,014"	"9,103"	"7,693"	"7,709"	"7689,"	"-0,03"
"7,706"	"7,707"	"0,142"	"0,020"	"7,904"	"7,704"	"7,685"	"7706,"	"0,207"
"7,623"	"7,624"	"0,145"	"0,021"	"6,892"	"7,633"	"7,662"	"7623,"	"0,111"
"7,445"	"7,446"	"0,123"	"0,015"	"10,39"	"7,445"	"7,452"	"7445,"	"-0,11"
"7,385"	"7,386"	"0,140"	"0,019"	"8,024"	"7,388"	"7,391"	"7385,"	"0,070"
"7,504"	"7,505"	"0,137"	"0,018"	"8,756"	"7,507"	"7,510"	"7504,"	"0,036"
