""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"4,016"	"4,016"	"0,046"	"0,002"	"8,137"	"4,015"	"4,013"	"4016,"	"0,206"
"4,016"	"4,016"	"0,041"	"0,001"	"9,538"	"4,015"	"4,012"	"4016,"	"0,068"
"4,013"	"4,014"	"0,051"	"0,002"	"119,1"	"4,011"	"4,006"	"4013,"	"6,403"
"4,017"	"4,017"	"0,043"	"0,001"	"8,145"	"4,015"	"4,012"	"4017,"	"0,503"
"4,013"	"4,013"	"0,042"	"0,001"	"7,517"	"4,013"	"4,015"	"4013,"	"0,090"
"4,015"	"4,016"	"0,049"	"0,002"	"7,179"	"4,015"	"4,019"	"4015,"	"-0,24"
"4,014"	"4,014"	"0,048"	"0,002"	"6,778"	"4,015"	"4,015"	"4014,"	"-0,08"
"4,014"	"4,014"	"0,045"	"0,002"	"7,540"	"4,015"	"4,017"	"4014,"	"-0,25"
"4,015"	"4,016"	"0,046"	"0,002"	"7,163"	"4,015"	"4,014"	"4015,"	"0,103"
"4,014"	"4,014"	"0,046"	"0,002"	"7,465"	"4,014"	"4,013"	"4014,"	"0,078"
"4,012"	"4,012"	"0,042"	"0,001"	"8,748"	"4,011"	"4,013"	"4012,"	"0,266"
"4,010"	"4,010"	"0,040"	"0,001"	"9,278"	"4,009"	"4,006"	"4010,"	"0,019"
"4,014"	"4,014"	"0,043"	"0,001"	"9,148"	"4,015"	"4,016"	"4014,"	"-0,01"
"4,013"	"4,013"	"0,048"	"0,002"	"6,759"	"4,013"	"4,011"	"4013,"	"0,038"
"4,016"	"4,016"	"0,046"	"0,002"	"7,450"	"4,017"	"4,018"	"4016,"	"0,012"
"4,020"	"4,020"	"0,045"	"0,002"	"7,562"	"4,020"	"4,022"	"4020,"	"-0,06"
"4,015"	"4,016"	"0,052"	"0,002"	"13,80"	"4,015"	"4,016"	"4015,"	"0,691"
"4,013"	"4,013"	"0,072"	"0,005"	"8,863"	"4,009"	"4,008"	"4013,"	"0,235"
"4,000"	"4,001"	"0,075"	"0,005"	"7,694"	"4,001"	"4,005"	"4000,"	"-0,29"
"4,009"	"4,009"	"0,071"	"0,005"	"9,397"	"4,008"	"4,006"	"4009,"	"0,096"
"4,005"	"4,006"	"0,065"	"0,004"	"9,157"	"4,004"	"4,004"	"4005,"	"0,487"
"4,003"	"4,003"	"0,072"	"0,005"	"7,135"	"4,003"	"4,001"	"4003,"	"0,212"
"4,005"	"4,006"	"0,064"	"0,004"	"9,124"	"4,008"	"4,006"	"4005,"	"-0,26"
"4,006"	"4,006"	"0,071"	"0,005"	"8,890"	"4,007"	"4,015"	"4006,"	"-0,20"
"4,002"	"4,003"	"0,070"	"0,004"	"8,259"	"4,005"	"4,013"	"4002,"	"-0,40"
"4,005"	"4,005"	"0,066"	"0,004"	"9,717"	"4,009"	"4,010"	"4005,"	"-0,44"
"4,003"	"4,004"	"0,075"	"0,005"	"7,548"	"4,007"	"4,007"	"4003,"	"-0,17"
"4,003"	"4,004"	"0,066"	"0,004"	"9,066"	"4,005"	"4,000"	"4003,"	"-0,07"
"4,010"	"4,011"	"0,067"	"0,004"	"8,274"	"4,010"	"4,004"	"4010,"	"-0,00"
"4,006"	"4,007"	"0,069"	"0,004"	"8,386"	"4,006"	"4,004"	"4006,"	"0,345"
"4,011"	"4,012"	"0,066"	"0,004"	"9,263"	"4,010"	"4,017"	"4011,"	"0,259"
"4,009"	"4,010"	"0,076"	"0,005"	"6,923"	"4,010"	"4,006"	"4009,"	"-0,01"
"4,005"	"4,006"	"0,063"	"0,004"	"9,980"	"4,004"	"4,004"	"4005,"	"0,066"
"4,008"	"4,009"	"0,071"	"0,005"	"7,803"	"4,006"	"4,005"	"4008,"	"0,232"
"4,007"	"4,008"	"0,073"	"0,005"	"8,284"	"4,008"	"4,003"	"4007,"	"-0,16"
"4,010"	"4,011"	"0,062"	"0,003"	"11,37"	"4,011"	"4,011"	"4010,"	"-0,79"
"4,017"	"4,017"	"0,072"	"0,005"	"7,243"	"4,015"	"4,016"	"4017,"	"0,061"
"4,014"	"4,014"	"0,072"	"0,005"	"7,671"	"4,016"	"4,013"	"4014,"	"-0,12"
"4,009"	"4,010"	"0,063"	"0,003"	"9,154"	"4,009"	"4,015"	"4009,"	"0,040"
"4,008"	"4,008"	"0,071"	"0,005"	"7,899"	"4,007"	"4,004"	"4008,"	"-0,06"
"4,009"	"4,010"	"0,067"	"0,004"	"9,036"	"4,008"	"4,010"	"4009,"	"0,311"
"4,002"	"4,002"	"0,063"	"0,003"	"9,449"	"4,004"	"4,006"	"4002,"	"-0,23"
"4,006"	"4,007"	"0,075"	"0,005"	"6,949"	"4,003"	"4,007"	"4006,"	"0,130"
"4,006"	"4,007"	"0,066"	"0,004"	"8,746"	"4,007"	"4,010"	"4006,"	"0,093"
"4,008"	"4,008"	"0,071"	"0,005"	"8,007"	"4,006"	"4,003"	"4008,"	"0,083"
"4,004"	"4,004"	"0,064"	"0,004"	"9,683"	"4,004"	"4,002"	"4004,"	"-0,05"
"4,002"	"4,003"	"0,076"	"0,005"	"7,806"	"4,002"	"3,997"	"4002,"	"0,000"
"4,001"	"4,001"	"0,070"	"0,004"	"8,901"	"4,000"	"4,000"	"4001,"	"0,097"
"4,005"	"4,005"	"0,063"	"0,004"	"10,44"	"4,007"	"4,001"	"4005,"	"-0,43"
"4,008"	"4,008"	"0,074"	"0,005"	"7,439"	"4,009"	"4,011"	"4008,"	"0,080"
"4,005"	"4,005"	"0,065"	"0,004"	"9,797"	"4,007"	"4,009"	"4005,"	"-0,68"
"4,005"	"4,006"	"0,065"	"0,004"	"9,167"	"4,005"	"4,004"	"4005,"	"-0,13"
"4,004"	"4,004"	"0,076"	"0,005"	"7,195"	"4,004"	"3,995"	"4004,"	"-0,05"
"4,003"	"4,003"	"0,073"	"0,005"	"7,604"	"4,004"	"3,998"	"4003,"	"-0,04"
"4,004"	"4,005"	"0,072"	"0,005"	"8,094"	"4,004"	"4,001"	"4004,"	"-0,07"
"4,006"	"4,006"	"0,063"	"0,004"	"10,02"	"4,004"	"4,007"	"4006,"	"0,152"
"4,001"	"4,002"	"0,062"	"0,003"	"8,561"	"4,004"	"3,992"	"4001,"	"-0,32"
"4,000"	"4,001"	"0,072"	"0,005"	"6,918"	"4,004"	"4,002"	"4000,"	"-0,16"
"4,004"	"4,005"	"0,074"	"0,005"	"8,191"	"4,003"	"3,999"	"4004,"	"0,305"
"4,005"	"4,005"	"0,065"	"0,004"	"10,86"	"4,009"	"4,014"	"4005,"	"-0,62"
"4,003"	"4,004"	"0,068"	"0,004"	"9,229"	"4,006"	"4,017"	"4003,"	"-0,29"
"4,003"	"4,004"	"0,077"	"0,005"	"7,012"	"4,003"	"4,011"	"4003,"	"-0,05"
"4,009"	"4,009"	"0,066"	"0,004"	"9,043"	"4,011"	"4,011"	"4009,"	"-0,41"
"3,999"	"3,999"	"0,062"	"0,003"	"10,21"	"4,002"	"3,999"	"3999,"	"-0,03"
