""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"4,012"	"4,012"	"0,053"	"0,002"	"7,965"	"4,014"	"4,019"	"4012,"	"-0,01"
"4,016"	"4,016"	"0,053"	"0,002"	"8,942"	"4,015"	"4,021"	"4016,"	"0,406"
"4,009"	"4,009"	"0,054"	"0,002"	"8,295"	"4,010"	"4,009"	"4009,"	"-0,38"
"4,013"	"4,013"	"0,048"	"0,002"	"9,272"	"4,013"	"4,014"	"4013,"	"-0,12"
"4,006"	"4,007"	"0,052"	"0,002"	"7,629"	"4,009"	"4,009"	"4006,"	"-0,25"
"4,012"	"4,012"	"0,053"	"0,002"	"8,170"	"4,012"	"4,012"	"4012,"	"0,174"
"4,010"	"4,010"	"0,058"	"0,003"	"7,756"	"4,010"	"4,011"	"4010,"	"0,077"
"4,014"	"4,014"	"0,052"	"0,002"	"8,508"	"4,013"	"4,007"	"4014,"	"0,283"
"4,006"	"4,006"	"0,056"	"0,003"	"7,712"	"4,007"	"4,007"	"4006,"	"-0,14"
"4,004"	"4,005"	"0,049"	"0,002"	"9,399"	"4,004"	"4,006"	"4004,"	"-0,15"
"4,014"	"4,014"	"0,055"	"0,003"	"8,051"	"4,013"	"4,014"	"4014,"	"0,181"
"4,012"	"4,013"	"0,053"	"0,002"	"9,198"	"4,015"	"4,016"	"4012,"	"0,025"
"4,013"	"4,014"	"0,052"	"0,002"	"7,916"	"4,014"	"4,012"	"4013,"	"-0,08"
"4,003"	"4,004"	"0,052"	"0,002"	"8,749"	"4,004"	"4,006"	"4003,"	"-0,01"
"4,007"	"4,007"	"0,054"	"0,002"	"8,750"	"4,007"	"4,008"	"4007,"	"0,080"
"4,008"	"4,008"	"0,060"	"0,003"	"6,312"	"4,009"	"4,012"	"4008,"	"-0,01"
"4,010"	"4,010"	"0,051"	"0,002"	"7,903"	"4,011"	"4,010"	"4010,"	"0,110"
"4,007"	"4,007"	"0,047"	"0,002"	"10,78"	"4,009"	"4,011"	"4007,"	"-0,45"
"4,012"	"4,013"	"0,053"	"0,002"	"9,373"	"4,013"	"4,012"	"4012,"	"0,169"
