""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,359"	"5,360"	"0,080"	"0,006"	"7,237"	"5,361"	"5,367"	"5359,"	"-0,17"
"5,364"	"5,364"	"0,076"	"0,005"	"8,445"	"5,364"	"5,367"	"5364,"	"-0,13"
"5,397"	"5,398"	"0,071"	"0,005"	"6,558"	"5,398"	"5,402"	"5397,"	"0,045"
"5,387"	"5,388"	"0,071"	"0,005"	"9,246"	"5,389"	"5,390"	"5387,"	"0,052"
"5,367"	"5,368"	"0,070"	"0,004"	"8,216"	"5,364"	"5,354"	"5367,"	"0,334"
"5,367"	"5,368"	"0,078"	"0,006"	"7,276"	"5,366"	"5,364"	"5367,"	"0,130"
"5,367"	"5,368"	"0,064"	"0,004"	"8,296"	"5,367"	"5,365"	"5367,"	"-0,27"
"5,364"	"5,364"	"0,074"	"0,005"	"7,289"	"5,360"	"5,361"	"5364,"	"0,462"
"5,399"	"5,400"	"0,066"	"0,004"	"8,482"	"5,399"	"5,398"	"5399,"	"0,369"
"5,382"	"5,382"	"0,068"	"0,004"	"9,222"	"5,383"	"5,382"	"5382,"	"-0,61"
"5,433"	"5,433"	"0,071"	"0,005"	"8,006"	"5,432"	"5,446"	"5433,"	"0,166"
"5,402"	"5,403"	"0,074"	"0,005"	"8,318"	"5,399"	"5,398"	"5402,"	"0,282"
"5,414"	"5,415"	"0,071"	"0,005"	"8,468"	"5,415"	"5,424"	"5414,"	"-0,14"
"5,399"	"5,399"	"0,071"	"0,005"	"7,817"	"5,400"	"5,390"	"5399,"	"0,083"
"5,359"	"5,359"	"0,074"	"0,005"	"8,237"	"5,361"	"5,357"	"5359,"	"0,070"
"5,352"	"5,352"	"0,059"	"0,003"	"9,351"	"5,349"	"5,341"	"5352,"	"0,506"
"5,346"	"5,346"	"0,068"	"0,004"	"9,410"	"5,343"	"5,337"	"5346,"	"0,324"
"5,374"	"5,375"	"0,077"	"0,005"	"7,792"	"5,376"	"5,380"	"5374,"	"-0,18"
"5,336"	"5,336"	"0,074"	"0,005"	"8,088"	"5,337"	"5,340"	"5336,"	"-0,24"
"5,341"	"5,341"	"0,066"	"0,004"	"8,708"	"5,341"	"5,339"	"5341,"	"-0,12"
"5,384"	"5,384"	"0,069"	"0,004"	"8,388"	"5,384"	"5,378"	"5384,"	"-0,41"
"5,369"	"5,370"	"0,072"	"0,005"	"7,510"	"5,369"	"5,366"	"5369,"	"0,065"
"5,399"	"5,399"	"0,074"	"0,005"	"7,474"	"5,397"	"5,394"	"5399,"	"0,160"
"5,387"	"5,387"	"0,069"	"0,004"	"9,110"	"5,385"	"5,390"	"5387,"	"0,257"
"5,332"	"5,332"	"0,067"	"0,004"	"8,721"	"5,328"	"5,314"	"5332,"	"0,357"
"5,314"	"5,315"	"0,075"	"0,005"	"7,499"	"5,317"	"5,317"	"5314,"	"-0,12"
"5,369"	"5,370"	"0,076"	"0,005"	"7,259"	"5,367"	"5,353"	"5369,"	"-0,03"
"5,396"	"5,397"	"0,072"	"0,005"	"9,513"	"5,398"	"5,405"	"5396,"	"-0,05"
"5,421"	"5,421"	"0,073"	"0,005"	"9,167"	"5,420"	"5,416"	"5421,"	"0,467"
"5,411"	"5,412"	"0,076"	"0,005"	"7,511"	"5,406"	"5,397"	"5411,"	"0,103"
"5,386"	"5,386"	"0,070"	"0,004"	"7,841"	"5,389"	"5,391"	"5386,"	"-0,23"
"5,366"	"5,366"	"0,063"	"0,004"	"8,605"	"5,369"	"5,371"	"5366,"	"-0,22"
"5,330"	"5,330"	"0,071"	"0,005"	"8,316"	"5,329"	"5,336"	"5330,"	"0,177"
"5,318"	"5,318"	"0,065"	"0,004"	"8,879"	"5,318"	"5,311"	"5318,"	"-0,20"
"5,381"	"5,381"	"0,077"	"0,005"	"6,735"	"5,384"	"5,400"	"5381,"	"0,109"
"5,415"	"5,416"	"0,066"	"0,004"	"9,553"	"5,414"	"5,418"	"5415,"	"0,762"
"5,381"	"5,382"	"0,073"	"0,005"	"8,011"	"5,380"	"5,372"	"5381,"	"-0,38"
"5,375"	"5,375"	"0,070"	"0,005"	"8,541"	"5,376"	"5,382"	"5375,"	"-0,14"
"5,381"	"5,381"	"0,068"	"0,004"	"7,983"	"5,382"	"5,381"	"5381,"	"0,103"
"5,350"	"5,351"	"0,071"	"0,005"	"8,023"	"5,349"	"5,350"	"5350,"	"0,442"
"5,341"	"5,341"	"0,070"	"0,004"	"10,24"	"5,341"	"5,343"	"5341,"	"-0,12"
"5,375"	"5,376"	"0,068"	"0,004"	"7,880"	"5,378"	"5,378"	"5375,"	"-0,16"
"5,407"	"5,408"	"0,073"	"0,005"	"7,850"	"5,405"	"5,395"	"5407,"	"0,046"
"5,443"	"5,444"	"0,069"	"0,004"	"8,273"	"5,446"	"5,461"	"5443,"	"0,021"
"5,376"	"5,377"	"0,075"	"0,005"	"8,474"	"5,372"	"5,372"	"5376,"	"0,406"
"5,377"	"5,377"	"0,070"	"0,004"	"8,593"	"5,372"	"5,357"	"5377,"	"0,611"
"5,381"	"5,382"	"0,070"	"0,004"	"7,673"	"5,382"	"5,397"	"5381,"	"0,235"
"5,315"	"5,315"	"0,064"	"0,004"	"9,097"	"5,316"	"5,322"	"5315,"	"-0,31"
"5,356"	"5,357"	"0,074"	"0,005"	"7,455"	"5,358"	"5,363"	"5356,"	"0,129"
"5,365"	"5,365"	"0,069"	"0,004"	"9,789"	"5,366"	"5,363"	"5365,"	"-0,37"
"5,370"	"5,370"	"0,075"	"0,005"	"7,249"	"5,366"	"5,351"	"5370,"	"0,035"
"5,428"	"5,429"	"0,067"	"0,004"	"9,416"	"5,429"	"5,430"	"5428,"	"-0,11"
"5,385"	"5,386"	"0,073"	"0,005"	"7,512"	"5,381"	"5,359"	"5385,"	"0,576"
"5,335"	"5,335"	"0,063"	"0,003"	"9,935"	"5,338"	"5,340"	"5335,"	"-0,61"
"5,318"	"5,318"	"0,075"	"0,005"	"7,904"	"5,320"	"5,324"	"5318,"	"0,029"
"5,345"	"5,346"	"0,070"	"0,005"	"8,392"	"5,345"	"5,345"	"5345,"	"0,110"
"5,386"	"5,387"	"0,069"	"0,004"	"8,839"	"5,389"	"5,393"	"5386,"	"-0,03"
"5,407"	"5,407"	"0,067"	"0,004"	"8,169"	"5,405"	"5,396"	"5407,"	"0,250"
"5,389"	"5,390"	"0,077"	"0,006"	"8,011"	"5,391"	"5,394"	"5389,"	"-0,15"
"5,345"	"5,345"	"0,073"	"0,005"	"7,727"	"5,343"	"5,334"	"5345,"	"0,168"
