""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"4,847"	"4,847"	"0,093"	"0,008"	"5,969"	"4,846"	"4,863"	"4847,"	"-0,04"
"4,783"	"4,783"	"0,072"	"0,005"	"9,017"	"4,785"	"4,783"	"4783,"	"-0,56"
"4,803"	"4,803"	"0,083"	"0,007"	"7,593"	"4,801"	"4,793"	"4803,"	"-0,17"
"4,848"	"4,849"	"0,075"	"0,005"	"9,375"	"4,851"	"4,848"	"4848,"	"-0,00"
"4,871"	"4,872"	"0,078"	"0,006"	"8,733"	"4,872"	"4,866"	"4871,"	"0,320"
"4,821"	"4,822"	"0,085"	"0,007"	"8,185"	"4,822"	"4,827"	"4821,"	"-0,11"
"4,825"	"4,826"	"0,081"	"0,006"	"8,904"	"4,824"	"4,815"	"4825,"	"-0,09"
"4,848"	"4,848"	"0,081"	"0,006"	"7,814"	"4,853"	"4,845"	"4848,"	"-0,34"
"4,853"	"4,854"	"0,080"	"0,006"	"9,291"	"4,854"	"4,845"	"4853,"	"-0,11"
"4,843"	"4,844"	"0,077"	"0,005"	"8,688"	"4,844"	"4,847"	"4843,"	"0,089"
"4,804"	"4,805"	"0,070"	"0,004"	"9,209"	"4,806"	"4,804"	"4804,"	"0,141"
"4,798"	"4,798"	"0,081"	"0,006"	"9,778"	"4,799"	"4,799"	"4798,"	"-0,43"
"4,787"	"4,788"	"0,075"	"0,005"	"8,985"	"4,789"	"4,785"	"4787,"	"-0,39"
"4,806"	"4,807"	"0,072"	"0,005"	"10,29"	"4,806"	"4,809"	"4806,"	"0,779"
"4,840"	"4,841"	"0,072"	"0,005"	"10,17"	"4,837"	"4,834"	"4840,"	"0,491"
"4,893"	"4,894"	"0,078"	"0,006"	"9,309"	"4,893"	"4,888"	"4893,"	"0,260"
"4,842"	"4,842"	"0,079"	"0,006"	"7,567"	"4,838"	"4,807"	"4842,"	"0,188"
"4,828"	"4,829"	"0,083"	"0,006"	"8,062"	"4,828"	"4,828"	"4828,"	"-0,00"
"4,807"	"4,808"	"0,085"	"0,007"	"8,145"	"4,812"	"4,800"	"4807,"	"-0,43"
"4,838"	"4,839"	"0,084"	"0,007"	"7,119"	"4,838"	"4,830"	"4838,"	"0,013"
"4,856"	"4,856"	"0,074"	"0,005"	"8,451"	"4,855"	"4,852"	"4856,"	"0,168"
"4,872"	"4,872"	"0,077"	"0,006"	"11,17"	"4,870"	"4,862"	"4872,"	"0,716"
"4,890"	"4,891"	"0,082"	"0,006"	"8,046"	"4,891"	"4,896"	"4890,"	"0,388"
"4,871"	"4,871"	"0,075"	"0,005"	"8,625"	"4,875"	"4,886"	"4871,"	"-0,49"
"4,836"	"4,837"	"0,074"	"0,005"	"9,476"	"4,835"	"4,834"	"4836,"	"0,555"
"4,858"	"4,859"	"0,084"	"0,007"	"7,527"	"4,854"	"4,851"	"4858,"	"0,517"
"4,838"	"4,839"	"0,076"	"0,005"	"10,44"	"4,837"	"4,841"	"4838,"	"0,167"
"4,854"	"4,854"	"0,074"	"0,005"	"9,545"	"4,853"	"4,861"	"4854,"	"0,147"
"4,895"	"4,896"	"0,078"	"0,006"	"7,824"	"4,894"	"4,890"	"4895,"	"0,083"
"4,935"	"4,935"	"0,077"	"0,005"	"8,720"	"4,935"	"4,937"	"4935,"	"0,356"
"4,839"	"4,840"	"0,089"	"0,008"	"6,548"	"4,832"	"4,810"	"4839,"	"0,511"
"4,808"	"4,808"	"0,068"	"0,004"	"9,897"	"4,806"	"4,813"	"4808,"	"0,344"
"4,784"	"4,785"	"0,080"	"0,006"	"8,134"	"4,785"	"4,785"	"4784,"	"0,170"
"4,787"	"4,788"	"0,080"	"0,006"	"8,906"	"4,786"	"4,782"	"4787,"	"0,333"
"4,764"	"4,765"	"0,074"	"0,005"	"9,335"	"4,761"	"4,758"	"4764,"	"0,410"
"4,833"	"4,833"	"0,080"	"0,006"	"6,419"	"4,832"	"4,854"	"4833,"	"-0,19"
"4,888"	"4,888"	"0,077"	"0,006"	"8,759"	"4,889"	"4,894"	"4888,"	"-0,07"
"4,938"	"4,939"	"0,073"	"0,005"	"9,035"	"4,938"	"4,955"	"4938,"	"0,029"
"4,911"	"4,912"	"0,086"	"0,007"	"7,506"	"4,910"	"4,923"	"4911,"	"0,247"
"4,833"	"4,834"	"0,077"	"0,006"	"9,029"	"4,834"	"4,824"	"4833,"	"-0,44"
"4,791"	"4,792"	"0,082"	"0,006"	"7,618"	"4,792"	"4,791"	"4791,"	"-0,09"
"4,824"	"4,825"	"0,076"	"0,005"	"7,947"	"4,824"	"4,812"	"4824,"	"-0,06"
"4,837"	"4,837"	"0,081"	"0,006"	"8,087"	"4,835"	"4,823"	"4837,"	"0,344"
"4,856"	"4,857"	"0,080"	"0,006"	"9,369"	"4,853"	"4,848"	"4856,"	"0,286"
"4,895"	"4,896"	"0,085"	"0,007"	"8,125"	"4,895"	"4,905"	"4895,"	"0,064"
"4,885"	"4,885"	"0,078"	"0,006"	"8,609"	"4,885"	"4,889"	"4885,"	"0,255"
