""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,495"	"5,495"	"0,026"	"0,000"	"5,688"	"5,497"	"5,499"	"5495,"	"-0,22"
"5,545"	"5,545"	"0,030"	"0,000"	"3,967"	"5,550"	"5,551"	"5545,"	"-0,35"
"5,540"	"5,540"	"0,026"	"0,000"	"5,399"	"5,540"	"5,535"	"5540,"	"-0,32"
"5,599"	"5,599"	"0,036"	"0,001"	"3,804"	"5,594"	"5,599"	"5599,"	"0,132"
"5,612"	"5,612"	"0,048"	"0,002"	"2,247"	"5,618"	"5,666"	"5612,"	"-0,14"
"5,486"	"5,486"	"0,037"	"0,001"	"3,754"	"5,482"	"5,496"	"5486,"	"0,543"
"5,493"	"5,493"	"0,030"	"0,000"	"5,022"	"5,496"	"5,512"	"5493,"	"0,348"
"5,553"	"5,553"	"0,059"	"0,003"	"2,254"	"5,563"	"5,571"	"5553,"	"-0,04"
"5,611"	"5,611"	"0,031"	"0,000"	"3,918"	"5,609"	"5,607"	"5611,"	"0,019"
"5,620"	"5,620"	"0,030"	"0,000"	"4,198"	"5,627"	"5,596"	"5620,"	"-0,07"
"5,589"	"5,589"	"0,024"	"0,000"	"6,328"	"5,589"	"5,597"	"5589,"	"0,212"
"5,532"	"5,532"	"0,036"	"0,001"	"3,964"	"5,532"	"5,549"	"5532,"	"0,046"
"5,410"	"5,410"	"0,033"	"0,001"	"3,843"	"5,405"	"5,385"	"5410,"	"0,361"
"5,490"	"5,490"	"0,062"	"0,003"	"2,879"	"5,508"	"5,441"	"5490,"	"-0,34"
"5,541"	"5,541"	"0,026"	"0,000"	"6,486"	"5,542"	"5,545"	"5541,"	"0,094"
"5,548"	"5,548"	"0,027"	"0,000"	"5,654"	"5,549"	"5,557"	"5548,"	"0,068"
"5,556"	"5,556"	"0,032"	"0,001"	"4,123"	"5,550"	"5,542"	"5556,"	"0,330"
"5,578"	"5,578"	"0,028"	"0,000"	"5,154"	"5,582"	"5,586"	"5578,"	"-0,52"
"5,492"	"5,492"	"0,027"	"0,000"	"5,269"	"5,491"	"5,491"	"5492,"	"0,104"
"5,445"	"5,445"	"0,025"	"0,000"	"5,862"	"5,444"	"5,444"	"5445,"	"0,075"
"5,498"	"5,498"	"0,050"	"0,002"	"2,418"	"5,494"	"5,479"	"5498,"	"-0,10"
"5,512"	"5,512"	"0,035"	"0,001"	"3,281"	"5,508"	"5,490"	"5512,"	"-0,08"
"5,446"	"5,446"	"0,032"	"0,001"	"4,355"	"5,444"	"5,432"	"5446,"	"0,076"
"5,540"	"5,540"	"0,078"	"0,006"	"1,823"	"5,559"	"5,560"	"5540,"	"-0,23"
"5,593"	"5,593"	"0,024"	"0,000"	"5,731"	"5,592"	"5,587"	"5593,"	"0,130"
"5,600"	"5,600"	"0,035"	"0,001"	"3,416"	"5,608"	"5,622"	"5600,"	"-0,17"
"5,514"	"5,514"	"0,029"	"0,000"	"3,536"	"5,515"	"5,522"	"5514,"	"-0,09"
"5,466"	"5,466"	"0,028"	"0,000"	"5,515"	"5,464"	"5,464"	"5466,"	"0,356"
"5,594"	"5,595"	"0,062"	"0,003"	"1,870"	"5,606"	"5,557"	"5594,"	"-0,05"
"5,658"	"5,658"	"0,022"	"0,000"	"7,873"	"5,658"	"5,660"	"5658,"	"-0,16"
"5,672"	"5,672"	"0,025"	"0,000"	"5,479"	"5,671"	"5,672"	"5672,"	"0,112"
"5,651"	"5,651"	"0,036"	"0,001"	"3,576"	"5,656"	"5,676"	"5651,"	"-0,19"
"5,546"	"5,546"	"0,031"	"0,001"	"3,325"	"5,540"	"5,535"	"5546,"	"0,295"
"5,564"	"5,564"	"0,039"	"0,001"	"2,908"	"5,561"	"5,524"	"5564,"	"0,087"
