""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"3,978"	"3,978"	"0,081"	"0,006"	"5,973"	"3,973"	"3,926"	"3978,"	"-0,18"
"4,012"	"4,013"	"0,111"	"0,012"	"3,266"	"4,041"	"4,073"	"4012,"	"-0,22"
"3,802"	"3,803"	"0,068"	"0,004"	"9,576"	"3,800"	"3,797"	"3802,"	"-0,03"
"3,801"	"3,802"	"0,071"	"0,005"	"8,257"	"3,800"	"3,797"	"3801,"	"0,281"
"3,800"	"3,801"	"0,075"	"0,005"	"9,279"	"3,800"	"3,799"	"3800,"	"-0,09"
"3,807"	"3,807"	"0,072"	"0,005"	"8,065"	"3,805"	"3,800"	"3807,"	"0,339"
"3,936"	"3,938"	"0,092"	"0,008"	"5,352"	"3,943"	"3,985"	"3936,"	"-0,17"
"4,064"	"4,065"	"0,080"	"0,006"	"7,603"	"4,071"	"4,082"	"4064,"	"-0,15"
"4,102"	"4,103"	"0,074"	"0,005"	"9,284"	"4,101"	"4,100"	"4102,"	"-0,09"
"4,100"	"4,101"	"0,076"	"0,005"	"8,485"	"4,099"	"4,103"	"4100,"	"0,083"
"4,083"	"4,083"	"0,073"	"0,005"	"7,194"	"4,086"	"4,106"	"4083,"	"-0,30"
"3,940"	"3,941"	"0,093"	"0,008"	"3,664"	"3,928"	"3,877"	"3940,"	"-0,01"
"3,919"	"3,920"	"0,077"	"0,005"	"6,482"	"3,920"	"3,919"	"3919,"	"0,167"
"3,898"	"3,899"	"0,088"	"0,007"	"5,698"	"3,910"	"3,942"	"3898,"	"-0,26"
"3,801"	"3,802"	"0,072"	"0,005"	"8,655"	"3,800"	"3,796"	"3801,"	"0,481"
"3,906"	"3,907"	"0,083"	"0,006"	"5,267"	"3,913"	"3,938"	"3906,"	"-0,28"
"3,853"	"3,854"	"0,067"	"0,004"	"7,643"	"3,848"	"3,832"	"3853,"	"0,224"
"3,843"	"3,844"	"0,074"	"0,005"	"7,201"	"3,844"	"3,847"	"3843,"	"-0,03"
"3,852"	"3,853"	"0,077"	"0,005"	"6,380"	"3,851"	"3,842"	"3852,"	"-0,19"
"4,033"	"4,034"	"0,093"	"0,008"	"4,369"	"4,034"	"4,092"	"4033,"	"0,053"
"4,065"	"4,067"	"0,104"	"0,010"	"4,983"	"4,082"	"4,129"	"4065,"	"-0,50"
"3,846"	"3,846"	"0,075"	"0,005"	"6,318"	"3,838"	"3,817"	"3846,"	"0,379"
"3,814"	"3,815"	"0,073"	"0,005"	"8,108"	"3,809"	"3,803"	"3814,"	"0,032"
"3,906"	"3,907"	"0,081"	"0,006"	"6,041"	"3,912"	"3,920"	"3906,"	"-0,21"
"3,800"	"3,801"	"0,073"	"0,005"	"7,460"	"3,802"	"3,806"	"3800,"	"-0,06"
"3,837"	"3,838"	"0,089"	"0,008"	"6,014"	"3,822"	"3,808"	"3837,"	"0,519"
"3,965"	"3,966"	"0,079"	"0,006"	"5,881"	"3,958"	"3,923"	"3965,"	"0,020"
