WindCondition,PanelCondition,WaveAmplitudeInput [Volt],WaveFrequencyInput [Hz],P3/P2,Probe 3 Amplitude (FFT),Probe 2 Amplitude (FFT)
lowest,no,0.3,1.3,0.9501802213991354,21.461272172804424,22.586527996976
no,reverse,0.3,0.65,0.9696157709281857,13.470380715878235,13.892493418277862
full,no,,,,,
lowest,no,0.1,1.3,1.0143580441410531,7.462442189713257,7.356812747546521
no,reverse,0.1,0.65,0.9715811770956726,4.531016516705192,4.663549092469726
lowest,no,0.2,0.65,0.9673806146154074,8.84960906284583,9.14801157801171
no,reverse,0.2,1.3,0.7097443096061512,10.50869146083988,14.806306043751626
full,no,0.3,,,,
lowest,no,0.1,0.65,1.0025102240357013,4.545460881105915,4.534079326201507
no,reverse,0.1,1.3,0.6766989732725671,5.01806963798105,7.41551241568062
no,reverse,0.1,1.3,0.7014382994437879,5.111892135537919,7.287728855968433
lowest,no,0.1,0.65,1.004577508931341,4.589454493780603,4.568541952191242
lowest,no,0.2,1.3,1.0242057675860543,15.402092350442846,15.038083984572713
no,reverse,0.2,0.65,0.9698762960193082,9.023349833359681,9.303608996729254
no,reverse,0.1,1.3,0.6687555103856894,4.954004882242995,7.407796728861175
no,no,,,,,
lowest,no,0.3,0.65,0.9830592940078693,13.399641206439368,13.630552386936799
no,reverse,0.3,1.3,0.7394640719643086,16.728032572822052,22.621832766513982
lowest,reverse,0.3,1.3,0.7150886164052068,15.9093393864272,22.248066912887523
full,reverse,0.1,0.65,0.9202085928078108,4.254206325236899,4.6230891109766095
full,no,0.2,,,,
no,no,0.3,1.3,0.9741185995116167,21.861868568346253,22.442717528755637
full,no,0.1,1.3,0.9559770881732745,7.664583571387108,8.017538983107796
full,reverse,0.2,1.3,0.6513335073858831,9.85549520470635,15.131257785679148
full,no,0.3,1.3,0.98285471377303,22.966227764097923,23.36685925423714
full,reverse,0.3,0.65,0.9683088860691933,13.022923953203582,13.449142252602432
lowest,reverse,0.1,1.3,0.5634703957094437,4.248700833141289,7.540237899795808
no,no,0.1,1.3,0.9831597025203702,7.466071516414555,7.5939559944075965
lowest,reverse,0.2,0.65,0.9726428393738623,8.860677051331345,9.109897994042084
no,no,0.2,0.65,0.973919830742411,8.98613941993084,9.226775280960016
lowest,reverse,0.1,1.3,0.6019282542200509,4.441600203086697,7.378952843544293
full,reverse,0.3,0.65,0.9694990787805623,13.041154622118263,13.451435805923046
no,no,0.1,0.65,0.9727398932970273,4.552616062966293,4.680198781131049
lowest,reverse,0.2,1.3,0.6959003484633897,10.286836413817177,14.782053833614876
no,no,0.2,1.3,0.9879995515699611,14.913309587461809,15.094449753306172
lowest,reverse,0.1,0.65,0.9350076791826907,4.389219333751486,4.694313674073984
full,reverse,0.3,1.3,0.6850309107829227,16.116970835141846,23.52736289917449
full,no,0.2,1.3,1.0014467440428538,16.100623918233442,16.077364087515036
lowest,reverse,0.3,0.65,0.9692653470850712,13.288631167520709,13.710003362324253
full,reverse,0.1,1.3,0.7024103951713738,5.514552322961101,7.850897937829725
no,no,0.3,0.65,0.9821967826360616,13.592065416556212,13.83843406621354
full,no,0.1,0.65,0.9811418953926931,4.472087168347905,4.558043224275926
full,reverse,0.2,0.65,0.9663191783345513,8.651077282197946,8.952608492266558
